@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric
@attribute outputs-28 numeric
@attribute outputs-29 numeric
@attribute outputs-30 numeric
@attribute outputs-31 numeric
@attribute outputs-32 numeric
@attribute outputs-33 numeric
@attribute outputs-34 numeric
@attribute outputs-35 numeric
@attribute outputs-36 numeric
@attribute outputs-37 numeric
@attribute outputs-38 numeric
@attribute outputs-39 numeric
@attribute outputs-40 numeric

@data
533,'2018/09/29 20:56:56:714',6,251.219635,426.659668,57.783268,212.08345,428.061768,52.14867,200.073074,435.43457,52.124805,165.488098,429.495544,48.321175,136.830811,426.494293,49.285255,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
534,'2018/09/29 20:56:56:765',6,248.609512,425.32312,58.216255,210.671661,427.114288,52.874317,198.443817,434.569031,53.339603,162.382675,427.237518,48.689907,133.735535,423.945099,49.679077,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
535,'2018/09/29 20:56:56:814',6,246.412033,424.916412,58.004002,209.273178,427.181274,52.987045,196.622757,434.500977,53.624626,159.490494,426.546814,48.547958,130.718414,423.076996,49.542278,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
536,'2018/09/29 20:56:56:865',6,244.954956,425.093231,58.021942,209.221817,428.018219,53.477158,195.914642,435.027161,54.430557,157.61261,426.312836,48.629234,128.507294,422.363434,49.596287,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
537,'2018/09/29 20:56:56:915',6,240.158432,424.635223,57.225796,205.899628,428.567566,53.60667,191.65094,434.84671,55.041271,150.749664,426.152405,48.160595,121.790771,421.352844,49.158432,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
538,'2018/09/29 20:56:56:963',6,240.12532,424.445984,57.102489,208.591812,428.986328,54.192825,193.14682,435.02887,55.552624,150.866608,425.757202,48.124218,121.246948,421.203247,49.105724,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
539,'2018/09/29 20:56:57:014',6,234.645233,426.296234,56.095287,205.501007,430.695496,53.940159,187.844559,435.852173,55.238731,147.376328,427.500732,46.960808,117.722198,421.807098,47.710194,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
540,'2018/09/29 20:56:57:065',6,242.18103,430.347595,55.452518,209.300858,432.075073,54.564198,191.429306,437.118439,56.077061,145.606094,426.967773,47.473682,115.820038,421.275085,48.485062,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
541,'2018/09/29 20:56:57:114',6,225.725174,415.295929,64.199203,213.919495,418.169983,59.863743,214.436127,427.27832,57.967445,181.569855,425.130402,52.226967,152.883072,433.365417,52.85043,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
542,'2018/09/29 20:56:57:165',6,209.517166,420.635468,62.218269,204.620865,417.840881,57.36282,205.235718,424.915253,55.321953,179.202957,425.699585,51.148407,146.274323,431.738342,50.908443,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
543,'2018/09/29 20:56:57:216',6,207.620712,421.441437,61.913219,203.746338,417.703125,57.043762,203.981262,423.891876,54.667419,178.768509,425.656586,51.049465,144.879395,431.186279,50.737888,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
544,'2018/09/29 20:56:57:263',6,202.66452,421.483673,61.458923,200.176102,417.446533,56.547638,200.010849,423.307312,54.09581,175.315231,425.39978,50.679668,141.721008,430.427673,50.294685,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
545,'2018/09/29 20:56:57:315',6,199.699997,425.338928,61.959671,198.666306,419.714539,57.127228,198.8647,424.071747,54.2925,175.446533,425.939606,51.037392,142.318542,430.94812,50.477463,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
546,'2018/09/29 20:56:57:365',6,194.84465,427.666718,62.469929,195.682816,421.411804,57.768105,195.500259,423.24707,54.017693,173.81131,426.421509,51.401764,140.699463,431.142151,50.806236,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
547,'2018/09/29 20:56:57:414',6,185.515457,428.837158,62.195633,190.436478,421.75296,57.174812,193.99057,422.394226,53.386555,176.405075,425.924744,50.550385,144.154984,431.697632,49.632042,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
