@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric
@attribute outputs-28 numeric
@attribute outputs-29 numeric
@attribute outputs-30 numeric
@attribute outputs-31 numeric
@attribute outputs-32 numeric
@attribute outputs-33 numeric
@attribute outputs-34 numeric
@attribute outputs-35 numeric
@attribute outputs-36 numeric
@attribute outputs-37 numeric
@attribute outputs-38 numeric
@attribute outputs-39 numeric
@attribute outputs-40 numeric

@data
11,'2018/09/29 19:43:57:104',1,222.024734,369.360901,46.96492,186.366028,366.572357,61.069099,134.537903,395.846558,64.957703,136.608887,421.772827,61.830811,89.586731,448.825806,56.563538,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
12,'2018/09/29 19:43:57:154',1,220.769882,369.840515,46.705719,185.05191,366.113831,60.740406,133.36972,395.158142,64.791916,136.636292,421.414124,61.780243,91.208282,449.321411,56.601601,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
13,'2018/09/29 19:43:57:204',1,219.553116,370.24408,46.518208,184.383362,366.526398,60.579666,133.814667,395.648895,64.563141,135.169739,421.590576,61.515911,89.974579,449.310425,56.240845,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
14,'2018/09/29 19:43:57:254',1,219.626694,370.612427,46.677574,184.311707,366.834839,60.701817,133.360168,395.865479,64.6446,134.167175,421.648102,61.561222,90.187103,449.400116,56.149551,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
15,'2018/09/29 19:43:57:303',1,220.130035,370.466431,46.941521,183.001038,366.405273,60.772381,131.413818,395.167542,64.726135,134.181244,421.432251,61.736034,92.050842,449.752594,56.336742,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
16,'2018/09/29 19:43:57:353',1,219.617188,370.079315,46.941872,182.532623,366.245483,60.726398,131.47937,395.140076,64.70977,134.355713,421.457703,61.782265,92.307709,449.851624,56.457153,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
17,'2018/09/29 19:43:57:403',1,218.420258,370.205475,46.695148,183.294098,366.780823,60.675873,131.988892,395.643555,64.659439,133.70752,421.77417,61.584572,88.411255,449.124634,56.301929,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
18,'2018/09/29 19:43:57:454',1,218.364502,369.813904,46.706818,182.68869,366.242188,60.684723,131.996368,395.157898,64.754234,133.989868,421.415253,61.782589,88.980774,449.108765,56.630043,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
19,'2018/09/29 19:43:57:504',1,218.08226,369.43512,46.712807,182.410248,366.098785,60.733116,131.8479,395.067841,64.750198,133.164795,421.181396,61.742287,87.966156,448.731171,56.569592,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
20,'2018/09/29 19:43:57:553',1,217.90155,369.372864,46.727539,181.934875,365.86499,60.734264,131.136871,394.692627,64.74826,132.923462,420.849915,61.750168,88.321655,448.661621,56.559059,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
